gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FAM76A,9.54187415,8.612049461,5.355850285,5.626881963,5.468355601,6.423051621,5.673978007,5.7770023,7.005335171,4.590294203
FAM76B,7.431229177,5.887829733,16.46428051,6.809806012,5.67088729,6.639558979,8.308324939,8.381143234,6.62745402,8.001263809
FAM78A,1.53901196,2.372707505,21.39034033,3.804539509,3.200000685,2.562003736,5.147108621,1.167373522,8.138978621,2.630801026
FAM81A,0.439717703,0.307573195,3.537506052,6.61798049,1.660759849,2.958933893,3.242273147,1.76602661,2.790506956,7.729111979
FAM83B,0.483689473,1.449987919,4.6946342,78.58452196,26.0455752,36.69799718,37.48878326,35.26066689,46.85726263,74.24301929
FAM83D,30.20860618,48.64050384,6.876647279,9.335508711,5.711393628,6.783897217,6.403489465,13.67922306,5.755420597,9.579744424
FAM83E,0.219858851,2.240890421,6.843586475,21.42051656,9.802533745,11.72748189,15.19815538,8.171614653,4.41830268,6.459070104
FAM83F,0.087943541,0.483329306,2.182013079,8.792003067,5.994937993,7.974687686,11.26689919,9.219257557,2.848642517,7.638394702
FAM83G,1.055322487,2.065134309,4.562390983,8.823973987,8.951900651,8.912886238,11.42901284,6.944375822,5.987962843,8.708858567
FAM83H,0.923407176,2.416646532,8.794173924,50.16237386,21.46835903,24.42924689,32.7874872,86.08631407,57.55420597,139.77718
FAM83H-AS1,0.04397177,0.307573195,0.495912063,3.165121104,1.336709147,1.371213267,1.296909259,8.770267741,7.964571937,51.41855246
FAM84A,2.594774164,11.63285763,27.36508887,67.50148274,54.44132811,70.32375495,88.88691832,545.2340758,3.754975923,102.5241303
FAM84B,5.144697122,3.163610006,7.207255321,26.855573,14.54177527,18.11444895,17.54880341,32.41706472,14.5338904,81.55483179
FAM86B1,1.05268418,0.270225021,0.436072008,1.036177525,0.283544365,0.39007409,0.663450143,2.727164143,0.505488708,0.79014748
FAM86C1,0.835463635,0.355027345,1.124067344,1.918255215,1.053164782,1.11862135,1.540079745,2.792716656,2.13095901,2.993670133
FAM86DP,3.283372087,3.363532583,2.175731526,3.293004785,1.701266187,2.223891412,3.389391291,4.77755097,3.941881753,4.499576927
FAM86EP,0.527661243,0.366451492,0.562033672,1.055040368,0.782987509,0.619932735,1.134795601,0.778249015,1.010686738,1.402307664
FAM89A,0.923407176,1.098475697,1.355492973,1.246865889,3.929114765,1.299044148,0.810568287,1.795959264,2.55796471,3.39282615
FAM89B,12.5759263,17.9710624,7.703167385,5.818707484,6.602533059,5.340514831,4.377068748,8.291345271,8.051775279,5.73333189
FAM8A1,42.52070186,40.6875398,17.45610463,27.62287509,30.13671531,38.32180237,35.01654999,16.73235381,27.87600178,44.57846979
FAM91A1,18.38019998,18.6305872,30.21757506,36.86247104,22.43686556,27.8211955,25.04656006,43.07279036,53.19636427,91.78774061
FAM92A1,6.683709082,4.657536953,1.322432169,2.142051656,2.349367592,1.768143424,0.688983044,5.268147176,2.58703249,0.979746589
FAM95B1,1.319153108,1.098475697,0.23142563,0.03197092,1.498734498,1.443382387,1.49955133,0.239461235,0,0.127004187
FAM95C,0.175887081,0.483329306,0.297547238,0.959127607,1.579747174,2.056819901,3.039631075,0.897979632,0,0.23586492
