circRNA,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
hsa_circ_0009698,0,0.021964136,0.026173861,0.162155532,0,0,0.052480811,0.209227106,0.135333081,0
hsa_circ_0006955,0.029573192,0.021964136,0.052347722,0.121616649,0.10639019,0.133650443,0,0.052306777,0.135333081,0.024986724
hsa_circ_0110197,0.014786596,0.021964136,0.157043167,0,0.10639019,0,0,0.052306777,0.090222054,0.099946896
hsa_circ_0009699,0.088719576,0.043928271,0,0,0.10639019,0,0,0,0.045111027,0
hsa_circ_0110198,0.044359788,0.043928271,0,0.121616649,0.10639019,0,0.052480811,0,0.090222054,0.099946896
hsa_circ_0110199,0.133079364,0.19767722,0.026173861,0,0,0,0,0,0,0
hsa_circ_0110200,0.29573192,0.241605491,0,0,0,0.033412611,0,0.052306777,0.045111027,0
hsa_circ_0110201,0.177439152,0.219641355,0,0,0,0.033412611,0,0.052306777,0,0
hsa_circ_0110202,0.059146384,0.109820678,0.130869306,0.162155532,0.035463397,0.267300886,0.052480811,0.209227106,0.225555136,0.12493362
hsa_circ_0009700,0.029573192,0.021964136,0.261738612,0.324311064,0,0,0.052480811,0.31384066,0.180444109,0.024986724
hsa_circ_0009701,0.310518516,0.395354439,0.261738612,0.162155532,0.10639019,0.100237832,0.262404053,0.261533883,0.135333081,0.574694651
hsa_circ_0110203,0.07393298,0.043928271,0.052347722,0,0.070926793,0.100237832,0.157442432,0.052306777,0.045111027,0.049973448
hsa_circ_0009702,0.07393298,0.065892407,0.104695445,0.121616649,0.141853586,0.334126107,0.262404053,0.209227106,0.31577719,0.249867239
hsa_circ_0110204,0.280945324,0.153748949,0.235564751,0.040538883,0.070926793,0.100237832,0,0.366147436,0.135333081,0
hsa_circ_0110205,0,0.043928271,0.052347722,0.040538883,0.141853586,0,0,0.209227106,0.090222054,0.12493362
hsa_circ_0110206,0.162652556,0.153748949,0.130869306,0.040538883,0.283707172,0.033412611,0.209923242,0.052306777,0.180444109,0.099946896
hsa_circ_0110207,0.044359788,0.043928271,0,0.081077766,0.035463397,0,0.052480811,0,0.135333081,0.099946896
hsa_circ_0110208,0.103506172,0.109820678,0.026173861,0.040538883,0,0.033412611,0.052480811,0,0.180444109,0
hsa_circ_0110209,9.507781234,7.819232238,0.261738612,0.081077766,0.81565812,1.503567483,0.997135401,0,0,0
